ingredient_id	ingredient_name	axis	evidence_id	external_id	title_or_condition	evidence_detail	year_or_date	doi_or_url	matched_patterns
HBIN048372	Wogonin	myeloid_dc	HBREF001343	24901054	NF-κB and Nrf2 signaling pathways contribute to wogonin-mediated inhibition of inflammation-associated colorectal carcinogenesis	Animal & Cell Experiment	2014	10.1038/cddis.2014.221 	nf[- ]?κb
HBIN039698	P-hydroxyphenethyl-beta-d-glucoside	myeloid_dc	HBREF006045	36331009	Salidroside alleviates ulcerative colitis via inhibiting macrophage pyroptosis and repairing the dysbacteriosis-associated Th17/Treg imbalance	Animal & Cell Experiment	2022	10.1002/ptr.7636	macrophage
HBIN016074	Anemoside b	myeloid_dc	HBREF003090	33461587	Anemoside B4 ameliorates TNBS-induced colitis through S100A9/MAPK/NF-κB signaling pathway	Animal Experiment	2021	10.1186/s13020-020-00410-1	nf[- ]?κb
HBIN017212	Astragalin	myeloid_dc	HBREF003290	33042117	Astragalin Attenuates Dextran Sulfate Sodium (DSS)-Induced Acute Experimental Colitis by Alleviating Gut Microbiota Dysbiosis and Inhibiting NF-κB Activation in Mice	Animal Experiment	2020	10.3389/fimmu.2020.02058	nf[- ]?κb
HBIN019495	Campherol	myeloid_dc	HBREF003630	34367139	Kaempferol Alleviates Murine Experimental Colitis by Restoring Gut Microbiota and Inhibiting the LPS-TLR4-NF-κB Axis	Animal Experiment	2021	10.3389/fimmu.2021.679897	nf[- ]?κb;tlr4
HBIN021714	Crocin	myeloid_dc	HBREF004016	33841156	The Protection of Crocin Against Ulcerative Colitis and Colorectal Cancer via Suppression of NF-κB-Mediated Inflammation	Animal Experiment	2021	10.3389/fphar.2021.639458	nf[- ]?κb
HBIN022795	Daurisoline	myeloid_dc	HBREF004251	35366641	Daurisoline alleviated experimental colitis in vivo and in vitro: Involvement of NF-κB and Wnt/β-Catenin pathway	Animal & Cell Experiment	2022	10.1016/j.intimp.2022.108714	nf[- ]?κb
HBIN023000	Dehydrocostus lactone	myeloid_dc	HBREF004265	34575918	Dehydrocostus Lactone Attenuates Methicillin-Resistant Staphylococcus aureus-Induced Inflammation and Acute Lung Injury via Modulating Macrophage Polarization	Cell Experiment	2021	10.3390/ijms22189754	macrophage
HBIN023000	Dehydrocostus lactone	myeloid_dc	HBREF004266	35321327	Dehydrocostus Lactone Suppresses Dextran Sulfate Sodium-Induced Colitis by Targeting the IKKα/β-NF-κB and Keap1-Nrf2 Signalling Pathways	Animal & Cell Experiment	2022	10.3389/fphar.2022.817596	nf[- ]?κb
HBIN024134	Dioscin	myeloid_dc	HBREF004334	34343656	Dioscin ameliorates murine ulcerative colitis by regulating macrophage polarization	Animal Experiment	2021	10.1016/j.phrs.2021.105796	macrophage
HBIN032355	Kumujian b	myeloid_dc	HBREF005118	36054406	Nigakinone alleviates DSS-induced experimental colitis via regulating bile acid profile and FXR/NLRP3 signaling pathways	Animal Experiment	2022	10.1002/ptr.7588	nlrp3
HBIN037568	Nuciferine	myeloid_dc	HBREF005829	36577154	Nuciferine alleviates intestinal inflammation by inhibiting MAPK/NF-κB and NLRP3/Caspase 1 pathways in vivo and in vitro	Animal & Cell Experiment	2022	10.1016/j.intimp.2022.109613	nlrp3;nf[- ]?κb
HBIN037642	Obacunone	myeloid_dc	HBREF005830	32296403	Obacunone Protects Against Ulcerative Colitis in Mice by Modulating Gut Microbiota, Attenuating TLR4/NF-κB Signaling Cascades, and Improving Disrupted Epithelial Barriers	Animal Experiment	2020	10.3389/fmicb.2020.00497	nf[- ]?κb;tlr4
HBIN039240	Perillyl alcohol	myeloid_dc	HBREF005990	36070663	Perillyl alcohol attenuates chronic restraint stress aggravated dextran sulfate sodium-induced ulcerative colitis by modulating TLR4/NF-κB and JAK2/STAT3 signaling pathways	Animal Experiment	2022	10.1016/j.phymed.2022.154415	nf[- ]?κb;tlr4
HBIN042438	Rosmarinic acid	myeloid_dc	HBREF006371	34077834	Rosmarinic acid represses colitis-associated colon cancer: A pivotal involvement of the TLR4-mediated NF-κB-STAT3 axis	Animal Experiment	2021	10.1016/j.neo.2021.05.002	nf[- ]?κb;tlr4
HBIN046423	Tiliroside	myeloid_dc	HBREF006775	33868286	Tiliroside Ameliorates Ulcerative Colitis by Restoring the M1/M2 Macrophage Balance via the HIF-1α/glycolysis Pathway	Animal & Cell Experiment	2021	10.3389/fimmu.2021.649463	macrophage;\bm1\b;\bm2\b
HBIN047173	Triptolide	myeloid_dc	HBREF006964	35225120	Dendritic cell combination therapy reduces the toxicity of triptolide and ameliorates colitis in murine models	Animal Experiment	2022	10.1080/10717544.2022.2044935	dendritic
HBIN026264	Evodiamine	myeloid_dc	HBREF004493	33240089	Evodiamine Attenuates Experimental Colitis Injury Via Activating Autophagy and Inhibiting NLRP3 Inflammasome Assembly	Animal & Cell Experiment	2020	10.3389/fphar.2020.573870	nlrp3;inflammasome
HBIN030108	Indirubin	myeloid_dc	HBREF005028	36161389	Indirubin regulates T cell differentiation by promoting αVβ8 expression in bone marrow-derived dendritic cells to alleviate inflammatory bowel disease	Cell Experiment	2022	10.1002/ptr.7595	dendritic
HBIN038488	Oxymatrine	myeloid_dc	HBREF005920	36584572	Oxymatrine ameliorated experimental colitis via mechanisms involving inflammatory DCs, gut microbiota and TLR/NF-κB pathway	Animal Experiment	2022	10.1016/j.intimp.2022.109612	nf[- ]?κb
HBIN043028	Sanguinarine	myeloid_dc	HBREF006439	36304153	Sanguinarine protects against indomethacin-induced small intestine injury in rats by regulating the Nrf2/NF-κB pathways	Animal & Cell Experiment	2022	10.3389/fphar.2022.960140	nf[- ]?κb
HBIN043798	Sesamin	myeloid_dc	HBREF006477	33496702	Sesamin protects against DSS-induced colitis in mice by inhibiting NF-κB and MAPK signaling pathways	Animal Experiment	2021	10.1039/d0fo00950d	nf[- ]?κb
HBIN003500	20-(s)-ginsenoside-rg3	myeloid_dc	HBREF002770	36683687	Ginsenoside Rg3 treats acute radiation proctitis through the TLR4/MyD88/NF-κB pathway and regulation of intestinal flora	Animal Experiment	2023	10.3389/fcimb.2022.1028576	nf[- ]?κb;tlr4;myd88
HBIN014230	Abk	myeloid_dc	HBREF002928	33570219	Abscisic acid suppresses the activation of NLRP3 inflammasome and oxidative stress in murine allergic airway inflammation	Animal & Cell Experiment	2021	10.1002/ptr.7051	nlrp3;inflammasome
HBIN015074	Albiflorin	myeloid_dc	HBREF002988	35561481	Albiflorin ameliorates inflammation and oxidative stress by regulating the NF-κB/NLRP3 pathway in Methotrexate-induced enteritis	Animal Experiment	2022	10.1016/j.intimp.2022.108824	nlrp3;nf[- ]?κb
HBIN016609	Arctigenin	myeloid_dc	HBREF003199	32861708	Arctigenin disrupts NLRP3 inflammasome assembly in colonic macrophages via downregulating fatty acid oxidation to prevent colitis-associated cancer	Animal Experiment	2020	10.1016/j.canlet.2020.08.033	macrophage;nlrp3;inflammasome
HBIN017927	Berlambine	myeloid_dc	HBREF003497	31863867	Oxyberberine, a novel gut microbiota-mediated metabolite of berberine, possesses superior anti-colitis effect: Impact on intestinal epithelial barrier, gut microbiota profile and TLR4-MyD88-NF-κB pathway	Animal Experiment	2020	10.1016/j.phrs.2019.104603	nf[- ]?κb;tlr4;myd88
HBIN018620	Bisdemethoxycurcumin	myeloid_dc	HBREF003534	36290717	Bisdemethoxycurcumin Alleviates Dextran Sodium Sulfate-Induced Colitis via Inhibiting NLRP3 Inflammasome Activation and Modulating the Gut Microbiota in Mice	Animal Experiment	2022	10.3390/antiox11101994	nlrp3;inflammasome
HBIN019550	Cannabichromene	myeloid_dc	HBREF001775	23373571	The cannabinoid TRPA1 agonist cannabichromene inhibits nitric oxide production in macrophages and ameliorates murine colitis	Animal Experiment	2013	10.1111/bph.12120 	macrophage
HBIN021403	Convallatoxin	myeloid_dc	HBREF003944	34825365	Convallatoxin inhibits IL-1β production by suppressing zinc finger protein 91 (ZFP91)-mediated pro-IL-1β ubiquitination and caspase-8 inflammasome activity	Animal & Cell Experiment	2021	10.1111/bph.15758	inflammasome
HBIN037940	Oleanolic acid	myeloid_dc	HBREF005834	31825448	Oleanolic acid enhances tight junctions and ameliorates inflammation in Salmonella typhimurium-induced diarrhea in mice via the TLR4/NF-κB and MAPK pathway	Animal Experiment	2020	10.1039/c9fo01718f	nf[- ]?κb;tlr4
HBIN041663	Quercetin,3-o-rutinoside	myeloid_dc	HBREF006310	34302158	Rutin prevents inflammation-associated colon damage via inhibiting the p38/MAPKAPK2 and PI3K/Akt/GSK3β/NF-κB signalling axes and enhancing splenic Tregs in DSS-induced murine chronic colitis	Cell Experiment	2021	10.1039/d1fo01557e	nf[- ]?κb
HBIN043437	Scoparone	myeloid_dc	HBREF006455	36522512	Scoparone suppresses mitophagy-mediated NLRP3 inflammasome activation in inflammatory diseases	Animal & Cell Experiment	2022	10.1038/s41401-022-01028-9	nlrp3;inflammasome
HBIN047656	Uvaol	myeloid_dc	HBREF007016	32411289	Anti-inflammatory properties of uvaol on DSS-induced colitis and LPS-stimulated macrophages	Animal & Cell Experiment	2020	10.1186/s13020-020-00322-0	macrophage
